source,degree_centrality,closeness_centrality,betweenness_centrality,pagerank,hits_hubs,hits_authorities
61997CJ0147,0.0004525706010137581,0.04046698122506425,2.6762458249377645e-05,3.20966619442884e-05,9.361388117273665e-05,5.158117351753905e-06
61995CJ0032,0.0009956553222302679,0.05731698325937266,0.00014751339479389386,0.00019203453826453025,1.6446266742934627e-06,2.7371673435497104e-05
61995CJ0067,0.0004525706010137581,0.03317835356415464,5.353769398616093e-05,5.5488391479741326e-05,6.292407553829984e-08,3.67100644328473e-06
61994CJ0308,9.051412020275162e-05,0.0,0.0,2.769082607392964e-05,1.4335460744836437e-06,0.0
61998CJ0285,0.001176683562635771,0.06150780713600765,0.0001317785683748311,9.646604558686918e-05,1.8244173158082783e-06,8.773485072335733e-05
61995CJ0001,0.0012671976828385228,0.05706609847529504,0.0005860400797194148,7.9596316346781e-05,4.93466384340636e-05,5.3099782149132355e-05
61997CJ0126,0.0009051412020275162,0.06872738990873134,0.0003220489263206314,0.00013283225172223119,3.856164942026469e-05,0.00034178612161334836
61999CJ0135,0.0009051412020275162,0.05991879901335258,0.00024512883164510966,0.00013587161961833115,0.00012478083662064416,0.00015728869022225593
61998CJ0368,0.002172338884866039,0.06392025954435848,0.00021294581293573156,0.00015856636770025678,0.0009144240250559492,0.0004969388292586136
61996CJ0397,,,,,,
62002CJ0001,0.0009956553222302679,0.04635860638949245,0.0001347424405681306,0.00010033016630688399,1.604280372382977e-05,2.6468647694863822e-05
61999CJ0424,0.0009051412020275162,0.06484016123850579,0.0003123305609821972,0.0001225944256917904,3.621192352750658e-05,8.341176978875298e-05
62002CJ0189,0.007603186097031136,0.05466540488243802,0.003425227488696651,0.0010201605096152803,7.671459423850634e-05,0.00025238417638877606
61993CJ0029,,,,,,
61993CJ0071,0.0005430847212165098,0.057959892428970095,7.352587499254831e-06,0.0001088952094786509,5.287232977123996e-05,2.8298215061822726e-05
62000CJ0328,9.051412020275162e-05,0.0,0.0,2.769082607392964e-05,3.528895241579702e-06,0.0
62000CJ0392,0.0002715423606082549,0.0,0.0,2.769082607392964e-05,1.0506602853486873e-08,0.0
62003CJ0511,0.000724112961622013,0.0006988425219714987,5.709294895729614e-05,3.773949629030321e-05,0.00010095386745780866,7.585953815929444e-06
62000CJ0355,0.0028059377262853002,0.04873111924845935,0.0007048094960898631,4.603488317708359e-05,0.00048732033321840026,0.0007591277108678771
61999CJ0195,0.0002715423606082549,0.0,0.0,2.769082607392964e-05,4.3777510863115046e-05,0.0
61999CJ0196,0.0005430847212165098,0.04995240908264947,1.0192641191787477e-05,0.000103432118961755,3.134540072227748e-05,9.016709855925048e-06
61999CJ0199,0.000724112961622013,0.05061031986686789,4.0202188175564234e-05,9.29311751407386e-05,4.499594615602163e-05,6.10910128515787e-06
62001CJ0322,0.0034395365677045617,0.052378595770375,0.0006503439815807519,0.00017258178041032525,0.000584610038108556,0.0007497694245551523
61994CJ0237,0.0015387400434467777,0.04629848985051226,7.086228091829943e-05,8.91164095485463e-05,5.5258271000947775e-05,0.00013194063070665876
61994CJ0098,0.0002715423606082549,0.00048179169493748117,0.0,5.4069706757907176e-05,2.1669429470396572e-06,3.781261904241258e-05
61998CJ0402,0.0004525706010137581,0.04674439820020272,7.112131995096653e-05,3.602409807623423e-05,3.3633190070769505e-06,6.786970311952403e-05
61993CJ0463,0.0002715423606082549,0.04877786476194568,1.526416956922859e-05,8.06127626231913e-05,2.653685206029639e-08,4.864260357701003e-07
61997CJ0295,0.0015387400434467777,0.08601694544925355,0.00046423828792524957,0.00016121451928956127,2.0146357712438375e-05,0.00036190637076535304
61994CJ0309,,,,,,
62005CJ0431,0.0012671976828385228,0.04927570316963229,0.00014561650479319612,9.06722702011431e-05,5.109828512471815e-05,0.00013365769696230194
61994CJ0315,0.00018102824040550325,0.0,0.0,2.769082607392964e-05,1.0282097597393606e-05,0.0
62004CJ0490,0.001900796524257784,0.04760630261562396,0.00021717672883728533,0.00011719108778087501,0.0002384009238610347,0.0006543095790400337
