,case_id,law_id,cited_article,law_type
112836,62014CJ0169,31993L0013,NPT1LQ,L
112854,62014CJ0174,32006L0112,ENTIRE_ARTICLE,L
112887,62014CJ0177,31999L0070,NPRL3,L
112895,62014CJ0178,31987R2658,N1,R
112951,62014CJ0180,32003L0088,ENTIRE_ARTICLE,L
112960,62014CJ0182,32009R0207,A08P2LAPT2,R
112974,62014CJ0183,32006L0112,ENTIRE_ARTICLE,L
112977,62014CJ0184,32001R0044,ENTIRE_ARTICLE,R
113048,62014CJ0187,32006L0112,A201,L
113128,62014CJ0194,32003R0001,A31,R
113193,62014CJ0203,32004L0018,ENTIRE_ARTICLE,L
113233,62014CJ0209,32006L0112,A90P1,L
113236,62014CJ0215,31994R0040,A07P3,R
113288,62014CJ0218,32004L0038,ENTIRE_ARTICLE,L
113292,62014CJ0219,32003L0088,A17,L
113418,62014CJ0226,32006L0112,ENTIRE_ARTICLE,L
113423,62014CJ0227,32003R0001,A31,R
113457,62014CJ0231,32003R0001,A23P3,R
113466,62014CJ0232,31992R2913,A236P1,R
113503,62014CJ0233,32004L0038,ENTIRE_ARTICLE,L
113512,62014CJ0234,32004L0018,ENTIRE_ARTICLE,L
113572,62014CJ0238,31999L0070,NPRL3,L
113615,62014CJ0240,32001R0044,A67,R
113656,62014CJ0245,32001R0044,ENTIRE_ARTICLE,R
113686,62014CJ0247,32003R0001,C23,R
113692,62014CJ0248,32003R0001,C23,R
113696,62014CJ0249,31994R0040,ENTIRE_ARTICLE,R
113705,62014CJ0250,31977L0388,A21P1LA,L
113754,62014CJ0256,32006L0112,ENTIRE_ARTICLE,L
113782,62014CJ0258,32000L0078,A03P1,L
113804,62014CJ0260,32004L0018,C2,L
113819,62014CJ0262,32000L0078,ENTIRE_ARTICLE,L
113879,62014CJ0264,32006L0112,A24P1,L
113901,62014CJ0266,32003L0088,ENTIRE_ARTICLE,L
113906,62014CJ0267,32003R0001,C23,R
113911,62014CJ0268,32003R0001,C23,R
113912,62014CJ0269,32004L0018,A01P4,L
113919,62014CJ0270,32009R0207,A08P4,R
113931,62014CJ0272,31987R2658,TR1A,R
113947,62014CJ0276,32006L0112,ENTIRE_ARTICLE,L
113972,62014CJ0277,31977L0388,TIT13,L
113976,62014CJ0278,32004L0018,A23P8,L
114148,62014CJ0294,31993R2454,ENTIRE_ARTICLE,R
114173,62014CJ0297,32001R0044,CH2S4,R
114190,62014CJ0298,32005L0036,ENTIRE_ARTICLE,L
114205,62014CJ0299,32004L0038,ENTIRE_ARTICLE,L
114217,62014CJ0300,32001R0044,A34PT2,R
114287,62014CJ0304,32004L0038,A28,L
114314,62014CJ0308,32004L0038,ENTIRE_ARTICLE,L
114352,62014CJ0312,31993L0013,ENTIRE_ARTICLE,L
114405,62014CJ0317,31968R1612,ENTIRE_ARTICLE,R
114427,62014CJ0319,31993R2454,A859PT6,R
114452,62014CJ0322,32001R0044,ENTIRE_ARTICLE,R
114476,62014CJ0324,32004L0018,ENTIRE_ARTICLE,L
114488,62014CJ0325,32001L0029,C27,L
114514,62014CJ0331,31977L0388,A04P2,L
114524,62014CJ0332,31977L0388,A20P1LB,L
114544,62014CJ0334,31977L0388,A13LAP2LB,L
114550,62014CJ0335,32006L0112,ENTIRE_ARTICLE,L
114630,62014CJ0342,32005L0036,P2,L
114646,62014CJ0344,31987R2658,NT1F,R
114707,62014CJ0348,31993L0013,NPT2LD,L
114711,62014CJ0350,32001R0044,A05PT3,R
114732,62014CJ0352,31999R0659,A25,R
114754,62014CJ0355,31987R2658,2710,R
114786,62014CJ0357,31999R0659,A01LC,R
114829,62014CJ0359,32001R0044,A05PT3,R
114977,62014CJ0367,31999R0659,A14P3,R
115051,62014CJ0373,32003R0001,A23P2LA,R
115097,62014CJ0377,31993L0013,NPT1LE,L
115148,62014CJ0379,31992R2913,A98,R
115156,62014CJ0381,31993L0013,ENTIRE_ARTICLE,L
115198,62014CJ0387,32004L0018,ENTIRE_ARTICLE,L
115329,62014CJ0399,31992L0043,C3,L
115370,62014CJ0406,32004L0018,ENTIRE_ARTICLE,L
115383,62014CJ0407,31976L0207,ENTIRE_ARTICLE,L
115435,62014CJ0409,31993R2454,A859PT2,R
115454,62014CJ0410,32004L0018,A43L1LE,L
115465,62014CJ0413,32003R0001,ENTIRE_ARTICLE,R
115574,62014CJ0419,32006L0112,N2,L
115594,62014CJ0421,31993L0013,ENTIRE_ARTICLE,L
115618,62014CJ0427,31992R2913,C5,R
115627,62014CJ0428,32003R0001,ENTIRE_ARTICLE,R
115684,62014CJ0430,31993R2454,A143P1LH,R
115702,62014CJ0432,32000L0078,ENTIRE_ARTICLE,L
115724,62014CJ0439,32004L0018,A07LC,L
115778,62014CJ0441,32000L0078,ENTIRE_ARTICLE,L
116005,62014CJ0461,31992L0043,A07,L
116018,62014CJ0463,32006L0112,TIT9,L
116054,62014CJ0464,31988L0361,N1,L
116077,62014CJ0465,31971R1408,ENTIRE_ARTICLE,R
116138,62014CJ0470,32001L0029,ENTIRE_ARTICLE,L
116274,62014CJ0479,31988L0361,N1,L
116375,62014CJ0484,32001L0029,ENTIRE_ARTICLE,L
116390,62014CJ0485,31988L0361,N11,L
116438,62014CJ0489,32001R0044,ENTIRE_ARTICLE,R
116541,62014CJ0493,31999R0659,A02,R
116590,62014CJ0499,31987R2658,TR1AP3LB,R
116630,62014CJ0504,31992L0043,N4,L
116682,62014CJ0509,31977L0187,ENTIRE_ARTICLE,L
116733,62014CJ0516,32006L0112,ENTIRE_ARTICLE,L
116746,62014CJ0518,32006L0112,ENTIRE_ARTICLE,L
116754,62014CJ0520,32006L0112,N1PT5,L
116777,62014CJ0521,32001R0044,ENTIRE_ARTICLE,R
116798,62014CJ0523,32001R0044,ENTIRE_ARTICLE,R
116876,62014CJ0532,31987R2658,N1,R
116897,62014CJ0537,32009R0207,ENTIRE_ARTICLE,R
116953,62014CJ0543,32006L0112,N3PT15,L
116962,62014CJ0546,32006L0112,ENTIRE_ARTICLE,L
117072,62014CJ0549,32004L0018,C2,L
117089,62014CJ0550,32006L0112,N6,L
117134,62014CJ0552,31992R2913,ENTIRE_ARTICLE,R
117179,62014CJ0553,31992R2913,C8,R
117314,62014CJ0559,32001R0044,C18,R
117354,62014CJ0561,32004L0038,ENTIRE_ARTICLE,L
117372,62014CJ0562,32001R1049,ENTIRE_ARTICLE,R
117412,62014CJ0572,32001R0044,A05PT3,R
117453,62014CJ0577,32009R0207,ENTIRE_ARTICLE,R
117523,62014CJ0590,31999R0659,A01LC,R
117529,62014CJ0591,31999R0659,A14,R
117608,62014CJ0596,31999L0070,NPRL3,L
117617,62014CJ0597,32009R0207,A76P2,R
117631,62014CJ0598,32009R0207,ENTIRE_ARTICLE,R
117712,62014CJ0603,32009R0207,A08P5,R
117721,62014CJ0605,32001R0044,C12,R
117735,62014CJ0606,31999R0659,A07P6,R
117750,62014CJ0607,32006L0112,A135P1LG,L
117808,62014CO0022,32009R0207,ENTIRE_ARTICLE,R
117813,62014CO0035,32009R0207,A07P1LB,R
117817,62014CO0057,32009R0207,A51P1LA,R
117847,62014CO0082,31977L0388,ENTIRE_ARTICLE,L
117858,62014CO0084,31992R2913,A243P1L1,R
117863,62014CO0086,31999L0070,NCL5PT1,L
117926,62014CO0122,31993L0013,ENTIRE_ARTICLE,L
117935,62014CO0123,32006L0112,ENTIRE_ARTICLE,L
117952,62014CO0139,31987R2658,2202 10 00,R
117960,62014CO0142,32009R0207,A76,R
117969,62014CO0152,31999L0070,NCL4PT4,L
117986,62014CO0159,32006L0112,ENTIRE_ARTICLE,L
118005,62014CO0170,31994R0040,A52P1LA,R
118017,62014CO0202,31999R0659,A18,R
118035,62014CO0224,32009R0207,ENTIRE_ARTICLE,R
118050,62014CO0237,32009R0207,ENTIRE_ARTICLE,R
118054,62014CO0253,32009R0207,A07,R
118063,62014CO0275,31987R2658,3811,R
118077,62014CO0291,32003R0001,A23P3,R
118104,62014CO0311,31994R0040,A08P2LAPT2,R
118132,62014CO0320,31994R0040,ENTIRE_ARTICLE,R
118145,62014CO0343,31994R0040,A08P1LB,R
118154,62014CO0368,32009R0207,ENTIRE_ARTICLE,R
118158,62014CO0370,32009R0207,A08P1LB,R
118168,62014CO0374,32009R0207,A07,R
118176,62014CO0384,32001R0044,ENTIRE_ARTICLE,R
118209,62014CO0400,31994R0040,ENTIRE_ARTICLE,R
118218,62014CO0405,31992R2913,A236,R
118230,62014CO0414,32009R0207,N2,R
118235,62014CO0420,32009R0207,A08P1LB,R
118281,62014CO0491,32009R0207,ENTIRE_ARTICLE,R
118291,62014CO0495,32004L0018,A07,L
118307,62014CO0500,32009R0207,ENTIRE_ARTICLE,R
118333,62014CO0507,32001R0044,C15,R
118365,62014CO0529,31987R2658,2715,R
118381,62014CO0531,32009R0207,A52P1LA,R
118394,62014CO0539,31993L0013,ENTIRE_ARTICLE,L
118447,62014CO0548,32009R0207,A08P1LB,R
118522,62014CO0568(01),31993L0013,ENTIRE_ARTICLE,L
118537,62014CO0579,32009R0207,ENTIRE_ARTICLE,R
118632,62015CJ0004,31993R2454,ENTIRE_ARTICLE,R
118646,62015CJ0006,32004L0018,A53P2,L
118675,62015CJ0011,31977L0388,A13LAP1LQ,L
118683,62015CJ0012,32001R0044,ENTIRE_ARTICLE,R
118720,62015CJ0015,32006L0112,A248BIS,L
118735,62015CJ0016,31999L0070,NPRL2,L
118774,62015CJ0022,32006L0112,A24P1,L
118789,62015CJ0024,31977L0388,A28QUATERLALD,L
118848,62015CJ0027,32004L0018,N7LA,L
118894,62015CJ0030,32009R0207,ENTIRE_ARTICLE,R
118937,62015CJ0040,32006L0112,ENTIRE_ARTICLE,L
119021,62015CJ0043,32009R0207,ENTIRE_ARTICLE,R
119039,62015CJ0044,31987R2658,TR1P3LA,R
119064,62015CJ0046,32004L0018,C46,L
119162,62015CJ0048,31988L0361,N1,L
119164,62015CJ0050,31994R0040,A08P5,R
119167,62015CJ0051,32004L0018,ENTIRE_ARTICLE,L
119211,62015CJ0060,32001R1049,C6,R
119389,62015CJ0070,32001R0044,ENTIRE_ARTICLE,R
119490,62015CJ0072,32001R1049,ENTIRE_ARTICLE,R
119594,62015CJ0080,31993R2454,ENTIRE_ARTICLE,R
119632,62015CJ0084,31987R2658,TR1,R
119658,62015CJ0085,32003R0001,ENTIRE_ARTICLE,R
119688,62015CJ0086,32003R0001,ENTIRE_ARTICLE,R
119715,62015CJ0088,32003R0001,ENTIRE_ARTICLE,R
119745,62015CJ0089,32003R0001,ENTIRE_ARTICLE,R
119765,62015CJ0090,32003R0001,A31,R
119771,62015CJ0091,31987R2658,N1,R
119856,62015CJ0097,31987R2658,NT5E,R
119863,62015CJ0098,31979L0007,A04P1,L
119878,62015CJ0100,31999R0659,A04,R
119885,62015CJ0101,32003R0001,A31,R
119896,62015CJ0102,32001R0044,ENTIRE_ARTICLE,R
119945,62015CJ0110,32001L0029,ENTIRE_ARTICLE,L
120068,62015CJ0115,32004L0038,ENTIRE_ARTICLE,L
120076,62015CJ0117,32001L0029,C9,L
120088,62015CJ0119,31993L0013,A08BIS,L
120125,62015CJ0122,32000L0078,ENTIRE_ARTICLE,L
120139,62015CJ0124,31987R2658,NT1,R
120209,62015CJ0130,31977L0388,A13LBLDPT6,L
120223,62015CJ0131,31999R0659,A06P1,R
120237,62015CJ0133,32004L0038,ENTIRE_ARTICLE,L
120358,62015CJ0143,31987R2658,TIT1SA,R
120369,62015CJ0144,31987R2658,TR1AP3LA,R
120435,62015CJ0154,31993L0013,ENTIRE_ARTICLE,L
120495,62015CJ0157,32000L0078,C4,L
120523,62015CJ0159,32000L0078,ENTIRE_ARTICLE,L
120537,62015CJ0160,32001L0029,C9,L
120549,62015CJ0162,32003R0001,A30P2,R
120594,62015CJ0163,32009R0207,C11,R
120620,62015CJ0166,32001L0029,A04,L
120630,62015CJ0168,31993L0013,ENTIRE_ARTICLE,L
120654,62015CJ0171,32004L0018,N7APT17,L
120690,62015CJ0173,31993R2454,A259L1,R
120703,62015CJ0174,32001L0029,ENTIRE_ARTICLE,L
120731,62015CJ0175,32001R0044,ENTIRE_ARTICLE,R
120763,62015CJ0178,32003L0088,A17,L
120764,62015CJ0179,31989L0104,ENTIRE_ARTICLE,L
120855,62015CJ0183,31987R2658,NT3,R
120867,62015CJ0184,31999L0070,NCL8PT5,L
120886,62015CJ0185,32001R0044,ENTIRE_ARTICLE,R
120926,62015CJ0186,32006L0112,TIT10,L
120940,62015CJ0188,32000L0078,C4,L
120976,62015CJ0191,32001R0044,ENTIRE_ARTICLE,R
121043,62015CJ0196,32001R0044,ENTIRE_ARTICLE,R
121055,62015CJ0198,32000L0078,ENTIRE_ARTICLE,L
121072,62015CJ0199,32004L0018,ENTIRE_ARTICLE,L
121163,62015CJ0207,32009R0207,A81,R
121174,62015CJ0208,32006L0112,A78LB,L
121249,62015CJ0213,32001R1049,ENTIRE_ARTICLE,R
121254,62015CJ0215,32001R0044,A24,R
121293,62015CJ0217,32006L0112,A273,L
121381,62015CJ0222,32001R0044,C14,R
121409,62015CJ0223,32009R0207,ENTIRE_ARTICLE,R
121420,62015CJ0225,32004L0018,ENTIRE_ARTICLE,L
121440,62015CJ0226,32009R0207,ENTIRE_ARTICLE,R
121457,62015CJ0229,32006L0112,A74,L
121475,62015CJ0230,32009R0207,ENTIRE_ARTICLE,R
121506,62015CJ0233,31992R2913,A71P1,R
121551,62015CJ0238,32004L0038,A24P2,L
121622,62015CJ0243,31992L0043,A07,L
121682,62015CJ0252,32009R0207,A75L1,R
121726,62015CJ0258,32000L0078,ENTIRE_ARTICLE,L
121748,62015CJ0262,31992R2913,A12P2,R
121757,62015CJ0263,32006L0112,ENTIRE_ARTICLE,L
121787,62015CJ0267,32006L0112,ENTIRE_ARTICLE,L
121816,62015CJ0269,31971R1408,ENTIRE_ARTICLE,R
121843,62015CJ0271,32001R1049,A08P3,R
121904,62015CJ0274,32006L0112,A28,L
121918,62015CJ0275,32001L0029,ENTIRE_ARTICLE,L
121964,62015CJ0280,32009R0207,A96P2,R
122010,62015CJ0284,31971R1408,ENTIRE_ARTICLE,R
122021,62015CJ0286,31993R2454,A218P1LD,R
122036,62015CJ0288,31987R2658,TR1AP3LB,R
122069,62015CJ0291,31992R2913,A33,R
122079,62015CJ0292,32004L0018,ENTIRE_ARTICLE,L
122146,62015CJ0296,32004L0018,ENTIRE_ARTICLE,L
122183,62015CJ0301,32001L0029,ENTIRE_ARTICLE,L
122288,62015CJ0317,31988L0361,N1PT6,L
122379,62015CJ0326,32006L0112,TIT09,L
122463,62015CJ0331,32001R1049,C6,R
122499,62015CJ0332,32006L0112,TIT11CH7,L
122552,62015CJ0335,31976L0207,ENTIRE_ARTICLE,L
122573,62015CJ0336,31977L0187,A03P1L1,L
122634,62015CJ0340,32006L0112,ENTIRE_ARTICLE,L
122638,62015CJ0341,32003L0088,ENTIRE_ARTICLE,L
122671,62015CJ0344,32006L0112,C3,L
122683,62015CJ0354,32001R0044,A34PT2,R
122730,62015CJ0355,32004L0018,ENTIRE_ARTICLE,L
122737,62015CJ0356,31971R1408,ENTIRE_ARTICLE,R
123044,62015CJ0378,32006L0112,ENTIRE_ARTICLE,L
123067,62015CJ0387,31992L0043,C3,L
123086,62015CJ0390,32006L0112,N3PT6,L
123115,62015CJ0391,32004L0018,A18,L
123124,62015CJ0392,32001R0044,ENTIRE_ARTICLE,R
123158,62015CJ0395,32000L0078,ENTIRE_ARTICLE,L
123195,62015CJ0400,32006L0112,ENTIRE_ARTICLE,L
123217,62015CJ0401,32004L0038,ENTIRE_ARTICLE,L
123284,62015CJ0406,32000L0078,ENTIRE_ARTICLE,L
123325,62015CJ0411,32003R0001,A31,R
123365,62015CJ0412,32006L0112,TIT10CH4,L
123389,62015CJ0414,31999R0659,A26,R
123399,62015CJ0415,31999R0659,A26,R
123404,62015CJ0416,31992R2913,TITVIICH3,R
123427,62015CJ0417,32001R0044,ENTIRE_ARTICLE,R
123463,62015CJ0421,31994R0040,A51P3,R
123469,62015CJ0423,32000L0078,ENTIRE_ARTICLE,L
123573,62015CJ0430,31972R0574,A10TER,R
123586,62015CJ0432,32006L0112,N3PT14,L
123662,62015CJ0435,31987R2658,N1,R
123712,62015CJ0437,32009R0207,A75,R
123722,62015CJ0441,31987R2658,TIT1,R
123737,62015CJ0442,32009R0207,A75,R
123752,62015CJ0443,32000L0078,ENTIRE_ARTICLE,L
123765,62015CJ0444,31992L0043,A07,L
123835,62015CJ0453,32006L0112,A56P1LA,L
123850,62015CJ0455,32001R0044,A34PT1,R
124035,62015CJ0467,31999R0659,ENTIRE_ARTICLE,R
124077,62015CJ0469,32003R0001,A31,R
124098,62015CJ0471,32006L0112,TIT12CH4,L
124174,62015CJ0482,32009R0207,ENTIRE_ARTICLE,R
124319,62015CJ0490,32003R0001,A23P3,R
124331,62015CJ0491,32001R1049,ENTIRE_ARTICLE,R
124336,62015CJ0493,31977L0388,ENTIRE_ARTICLE,L
124338,62015CJ0494,32001L0029,A08P3,L
124416,62015CJ0501,32009R0207,ENTIRE_ARTICLE,R
124434,62015CJ0502,31992L0043,ENTIRE_ARTICLE,L
124528,62015CJ0516,32003R0001,A25P3,R
124535,62015CJ0517,32003R0001,A30,R
124607,62015CJ0518,32003L0088,ENTIRE_ARTICLE,L
124613,62015CJ0519,32003R0001,A23P2,R
124627,62015CJ0524,32006L0112,A02P1,L
124641,62015CJ0527,32001L0029,ENTIRE_ARTICLE,L
124785,62015CJ0539,32000L0078,ENTIRE_ARTICLE,L
124789,62015CJ0544,32004L0038,A27P2,L
124818,62015CJ0547,31992R2913,A96P2,R
124829,62015CJ0548,32000L0078,ENTIRE_ARTICLE,L
124872,62015CJ0551,32001R0044,ENTIRE_ARTICLE,R
125052,62015CJ0564,32006L0112,ENTIRE_ARTICLE,L
125065,62015CJ0567,32004L0018,ENTIRE_ARTICLE,L
125095,62015CJ0569,31971R1408,TIT2,R
125106,62015CJ0570,31971R1408,TIT2,R
125137,62015CJ0571,32006L0112,A71P1L2,L
125157,62015CJ0573,32006L0112,N3PT4,L
125172,62015CJ0576,32006L0112,C59,L
125301,62015CJ0588,32003R0001,A27P1,R
125376,62015CJ0592,32006L0112,A413,L
125432,62015CJ0598,31993L0013,ENTIRE_ARTICLE,L
125437,62015CJ0599,31992R2913,A239,R
125467,62015CJ0600,31987R2658,N1,R
125525,62015CJ0605,32006L0112,TIT09,L
125531,62015CJ0610,32001L0029,C9,L
125568,62015CJ0616,32006L0112,ENTIRE_ARTICLE,L
125594,62015CJ0617,32009R0207,ENTIRE_ARTICLE,R
125602,62015CJ0618,32001R0044,ENTIRE_ARTICLE,R
125632,62015CJ0620,31972R0574,TIT3,R
125666,62015CJ0624,32006L0112,C51,L
125698,62015CJ0628,31988L0361,N1,L
125751,62015CJ0633,32006L0112,A413,L
125772,62015CJ0641,32001L0029,A03P1,L
125780,62015CJ0642,32009R0207,A15P1LA,R
126028,62015CJ0654,32009R0207,ENTIRE_ARTICLE,R
126040,62015CJ0655,32009R0207,ENTIRE_ARTICLE,R
126084,62015CJ0661,31993R2454,A145P3,R
126110,62015CJ0664,31992L0043,A06P3,L
126206,62015CJ0671,32003R0001,A15P3,R
126265,62015CJ0673,32009R0207,A74,R
126280,62015CJ0677,32009R0207,A118P4,R
126315,62015CJ0679,31992R2913,A41,R
126317,62015CJ0680,31977L0187,ENTIRE_ARTICLE,L
126446,62015CJ0689,32009R0207,ENTIRE_ARTICLE,R
126467,62015CJ0690,31971R1408,ENTIRE_ARTICLE,R
126560,62015CJ0699,32006L0112,A134,L
126571,62015CJ0700,31987R2658,N1,R
126617,62015CO0017,31994R0040,ENTIRE_ARTICLE,R
126622,62015CO0029,32009R0207,A66P2,R
126630,62015CO0033,32009R0207,A08P1LB,R
126636,62015CO0034,32009R0207,A08P1LB,R
126672,62015CO0062,32009R0207,A75,R
126686,62015CO0074,31993L0013,ENTIRE_ARTICLE,L
126731,62015CO0120,32006L0112,A183,L
126738,62015CO0137,31979L0007,ENTIRE_ARTICLE,L
126754,62015CO0151,32001L0029,ENTIRE_ARTICLE,L
126782,62015CO0170,32009R0207,A43P2,R
126791,62015CO0190,32009R0207,ENTIRE_ARTICLE,R
126802,62015CO0206,32009R0207,A08P1LB,R
126827,62015CO0232,32009R0207,A52P1LA,R
126834,62015CO0251,32009R0207,A08P1LB,R
126854,62015CO0264,31993R2454,PART4TIT4CH3S2,R
126860,62015CO0278,32009R0207,A41,R
126894,62015CO0295,32009R0207,A51P1LA,R
126926,62015CO0346,32009R0207,A07P1LB,R
126963,62015CO0374,32009R0207,A08P5,R
126964,62015CO0382,32009R0207,A65,R
126967,62015CO0383,32009R0207,A65,R
126970,62015CO0384,32009R0207,A65,R
126983,62015CO0393,32006L0112,ENTIRE_ARTICLE,L
126998,62015CO0396,32009R0207,A65,R
127017,62015CO0418,31999R0659,A06P1,R
127032,62015CO0426,31999R0659,A01LF,R
127048,62015CO0440,32009R0207,A65P2,R
127061,62015CO0446,32006L0112,ENTIRE_ARTICLE,L
127064,62015CO0451,32009R0207,A07P1LEPT1,R
127067,62015CO0452,32009R0207,A07P1LEPT1,R
127124,62015CO0474,32009R0207,A08P5,R
127131,62015CO0475,32009R0207,A08P5,R
127140,62015CO0476,32009R0207,ENTIRE_ARTICLE,R
127145,62015CO0479,32009R0207,ENTIRE_ARTICLE,R
127155,62015CO0480,32009R0207,A75,R
127162,62015CO0487,32009R0207,A53P1,R
127185,62015CO0510,32003R0001,ENTIRE_ARTICLE,R
127212,62015CO0514,32003R0001,A23P2L2,R
127230,62015CO0517,32003R0001,A30P2,R
127243,62015CO0523,32003R0001,A31,R
127251,62015CO0534,31993L0013,C10,L
127255,62015CO0542,32004L0018,A47,L
127264,62015CO0555,32006L0112,A134,L
127268,62015CO0575,32009R0207,A65P3,R
127284,62015CO0586,32009R0207,ENTIRE_ARTICLE,R
127301,62015CO0590,32005L0036,TIT3,L
127310,62015CO0602,32009R0207,A65,R
127316,62015CO0603,32009R0207,A65,R
127325,62015CO0604,32001R1049,ENTIRE_ARTICLE,R
127332,62015CO0608,32003R0001,A27P1,R
127345,62015CO0611,32009R0207,A76P2,R
127352,62015CO0613,31993L0013,A07P1,L
127373,62015CO0614,31999L0070,NPRL3,L
127375,62015CO0619,32009R0207,A08P1LB,R
127391,62015CO0631,31999L0070,NCL4PT1,L
127395,62015CO0636,32009R0207,A07P1LB,R
127435,62015CO0697,32004L0018,N7LAPT17,L
127531,62016CJ0015,32003R0001,ENTIRE_ARTICLE,R
127653,62016CJ0021,32006L0112,A214P1,L
127670,62016CJ0024,32001R0044,C11,R
127739,62016CJ0026,32006L0112,C11,L
127752,62016CJ0029,32001R0044,ENTIRE_ARTICLE,R
127763,62016CJ0033,32006L0112,ENTIRE_ARTICLE,L
127768,62016CJ0036,32006L0112,A16,L
127778,62016CJ0037,32006L0112,ENTIRE_ARTICLE,L
127831,62016CJ0046,31993R2454,A153P1,R
127832,62016CJ0047,31992R2913,A220P2LB,R
127869,62016CJ0051,31987R2658,NTR1SA,R
127885,62016CJ0052,31988L0361,N1,L
127946,62016CJ0056,32009R0207,ENTIRE_ARTICLE,R
127966,62016CJ0059,31992R2913,A32P1LEPT1,R
128087,62016CJ0071,32009R0207,ENTIRE_ARTICLE,R
128197,62016CJ0076,32004L0018,C39,L
128322,62016CJ0082,32004L0038,ENTIRE_ARTICLE,L
128350,62016CJ0084,32009R0207,ENTIRE_ARTICLE,R
128367,62016CJ0085,32009R0207,ENTIRE_ARTICLE,R
128398,62016CJ0090,32006L0112,ENTIRE_ARTICLE,L
128406,62016CJ0093,32009R0207,ENTIRE_ARTICLE,R
128426,62016CJ0096,31993L0013,NPT1LE,L
128487,62016CJ0101,32006L0112,ENTIRE_ARTICLE,L
128708,62016CJ0122,32003R0001,A31,R
128763,62016CJ0125,32005L0036,TIT3CH3,L
128768,62016CJ0126,31977L0187,ENTIRE_ARTICLE,L
128785,62016CJ0127,32004L0018,ENTIRE_ARTICLE,L
128833,62016CJ0131,32004L0018,ENTIRE_ARTICLE,L
128839,62016CJ0132,32006L0112,A26P1LB,L
128860,62016CJ0138,32001L0029,C9,L
128865,62016CJ0139,32009R0207,A07P1LB,R
128871,62016CJ0142,31992L0043,N2,L
128880,62016CJ0143,32000L0078,ENTIRE_ARTICLE,L
128906,62016CJ0145,31987R2658,NE,R
129011,62016CJ0154,32006L0112,A71P1L1,L
129014,62016CJ0156,31992R2913,A78,R
129028,62016CJ0158,31999L0070,NCL4PT1,L
129047,62016CJ0164,32006L0112,A64P1,L
129065,62016CJ0165,32004L0038,ENTIRE_ARTICLE,L
129076,62016CJ0168,32001R0044,CH2S5,R
129138,62016CJ0175,32003L0088,A17P1LB,L
129147,62016CJ0177,32003R0001,A23P3,R
129157,62016CJ0178,32004L0018,TIT2CH3S2,L
129249,62016CJ0182,32009R0207,A08P1LB,R
129340,62016CJ0184,32004L0038,ENTIRE_ARTICLE,L
129355,62016CJ0186,31993L0013,ENTIRE_ARTICLE,L
129438,62016CJ0187,32004L0018,N2A,L
129454,62016CJ0189,31971R1408,ENTIRE_ARTICLE,R
129460,62016CJ0190,32000L0078,A04P1,L
129494,62016CJ0193,32004L0038,ENTIRE_ARTICLE,L
129495,62016CJ0194,32001R0044,A05PT3,R
129625,62016CJ0204,31987R2658,N1,R
129655,62016CJ0205,31987R2658,N1,R
129727,62016CJ0211,32006L0112,A252P2,L
129739,62016CJ0214,32003L0088,ENTIRE_ARTICLE,L
129811,62016CJ0223,32004L0018,ENTIRE_ARTICLE,L
129855,62016CJ0224,31993R2454,A457P2,R
129912,62016CJ0228,31999R0659,A13P1,R
129941,62016CJ0231,32009R0207,ENTIRE_ARTICLE,R
129955,62016CJ0233,31999R0659,A15P2,R
130040,62016CJ0246,31977L0388,ENTIRE_ARTICLE,L
130043,62016CJ0248,32003R0001,ENTIRE_ARTICLE,R
130059,62016CJ0249,32001R0044,A16,R
130095,62016CJ0251,31977L0388,ENTIRE_ARTICLE,L
130122,62016CJ0256,31992R2913,ENTIRE_ARTICLE,R
130179,62016CJ0261,32003R0001,A23P2L2,R
130197,62016CJ0262,32006L0112,ENTIRE_ARTICLE,L
130205,62016CJ0263,31962R0017,ENTIRE_ARTICLE,R
130218,62016CJ0264,31962R0017,ENTIRE_ARTICLE,R
130237,62016CJ0265,32001L0029,ENTIRE_ARTICLE,L
130389,62016CJ0270,32000L0078,ENTIRE_ARTICLE,L
130419,62016CJ0273,32006L0112,C66,L
130436,62016CJ0274,32001R0044,ENTIRE_ARTICLE,R
130467,62016CJ0276,31992R2913,ENTIRE_ARTICLE,R
130538,62016CJ0281,31992L0043,N3,L
130541,62016CJ0283,32001R0044,ENTIRE_ARTICLE,R
130580,62016CJ0288,32006L0112,A146P1LE,L
130604,62016CJ0290,31993L0013,ENTIRE_ARTICLE,L
130708,62016CJ0297,32005L0036,A38P3,L
130872,62016CJ0305,32006L0112,ENTIRE_ARTICLE,L
130893,62016CJ0306,32003L0088,ENTIRE_ARTICLE,L
130903,62016CJ0307,32006L0112,ENTIRE_ARTICLE,L
130917,62016CJ0308,32006L0112,ENTIRE_ARTICLE,L
130935,62016CJ0315,31992L0043,ENTIRE_ARTICLE,L
130976,62016CJ0316,32004L0038,ENTIRE_ARTICLE,L
131204,62016CJ0340,32001R0044,ENTIRE_ARTICLE,R
131213,62016CJ0341,32009R0207,A18,R
131379,62016CJ0354,32000L0078,ENTIRE_ARTICLE,L
131415,62016CJ0359,31972R0574,ENTIRE_ARTICLE,R
131464,62016CJ0363,31999R0659,ENTIRE_ARTICLE,R
131545,62016CJ0368,32001R0044,CH2S3,R
131601,62016CJ0374,32006L0112,ENTIRE_ARTICLE,L
131616,62016CJ0380,32006L0112,C4,L
