case_id,bcoefficient,publication_year,total_citations,max_citations_in_a_year,max_citation_year,awakening_time_year,sleep_time_years,time_from_awakening_to_peak_years,top_cited,source_x,case_label,ecli,case_type,judge,advocate,country,country-chamber,chamber,main_subject,lodge_date,document_date,year_document,month_document,year_lodge,month_lodge,case_time,n_countries,joined_cases,ruling_title,ruling_name,ruling_type,ruling_content,source_y,subject
61965CO0025,1225.0,1967,1,1,2017,2016,49,1,0,61965CO0025,  Case 25-65,EU:C:1967:13,Order,Hammes,Gand,Italy,Italy-Second Chamber,Second Chamber,1,1967-04-14,1967-05-26,1967,5,1967.0,4.0,42 days 00:00:00.000000000,1,0,Order of the Court (Second Chamber) of 26 May 1967. , Società Industriale Metallurgica di Napoli (Simet) v High Authority of the ECSC. ,not_specified, Società Industriale Metallurgica di Napoli (Simet) v High Authority of the ECSC. ,61965CO0025,Financial provisions ECSC
61965CO0025,1225.0,1967,1,1,2017,2016,49,1,0,61965CO0025,  Case 25-65,EU:C:1967:13,Order,Hammes,Gand,Italy,Italy-Second Chamber,Second Chamber,1,1967-04-14,1967-05-26,1967,5,1967.0,4.0,42 days 00:00:00.000000000,1,0,Order of the Court (Second Chamber) of 26 May 1967. , Società Industriale Metallurgica di Napoli (Simet) v High Authority of the ECSC. ,not_specified, Società Industriale Metallurgica di Napoli (Simet) v High Authority of the ECSC. ,61965CO0025,Steel industry
61965CO0025,1225.0,1967,1,1,2017,2016,49,1,0,61965CO0025,  Case 25-65,EU:C:1967:13,Order,Hammes,Gand,Italy,Italy-Second Chamber,Second Chamber,1,1967-04-14,1967-05-26,1967,5,1967.0,4.0,42 days 00:00:00.000000000,1,0,Order of the Court (Second Chamber) of 26 May 1967. , Società Industriale Metallurgica di Napoli (Simet) v High Authority of the ECSC. ,not_specified, Società Industriale Metallurgica di Napoli (Simet) v High Authority of the ECSC. ,61965CO0025,Scrap equalisation
61965CO0025,1225.0,1967,1,1,2017,2016,49,1,0,61965CO0025,  Case 25-65,EU:C:1967:13,Order,Hammes,Gand,Italy,Italy-Second Chamber,Second Chamber,1,1967-04-14,1967-05-26,1967,5,1967.0,4.0,42 days 00:00:00.000000000,1,0,Order of the Court (Second Chamber) of 26 May 1967. , Società Industriale Metallurgica di Napoli (Simet) v High Authority of the ECSC. ,not_specified, Società Industriale Metallurgica di Napoli (Simet) v High Authority of the ECSC. ,61965CO0025,ECSC matters
61965CJ0051,1176.0,1966,1,1,2015,2014,48,1,0,61965CJ0051,  Case 51-65,EU:C:1966:21,Judgement,Monaco,Gand,Italy,Italy-not_specified,not_specified,1,1965-07-28,1966-04-28,1966,4,1965.0,7.0,274 days 00:00:00.000000000,1,0,Judgment of the Court of 28 April 1966. , ILFO - Industria Laminati Ferrosi Odolese SRL v High Authority of the ECSC. ,not_specified, ILFO - Industria Laminati Ferrosi Odolese SRL v High Authority of the ECSC. ,61965CJ0051,Financial provisions ECSC
61965CJ0051,1176.0,1966,1,1,2015,2014,48,1,0,61965CJ0051,  Case 51-65,EU:C:1966:21,Judgement,Monaco,Gand,Italy,Italy-not_specified,not_specified,1,1965-07-28,1966-04-28,1966,4,1965.0,7.0,274 days 00:00:00.000000000,1,0,Judgment of the Court of 28 April 1966. , ILFO - Industria Laminati Ferrosi Odolese SRL v High Authority of the ECSC. ,not_specified, ILFO - Industria Laminati Ferrosi Odolese SRL v High Authority of the ECSC. ,61965CJ0051,Steel industry
61965CJ0051,1176.0,1966,1,1,2015,2014,48,1,0,61965CJ0051,  Case 51-65,EU:C:1966:21,Judgement,Monaco,Gand,Italy,Italy-not_specified,not_specified,1,1965-07-28,1966-04-28,1966,4,1965.0,7.0,274 days 00:00:00.000000000,1,0,Judgment of the Court of 28 April 1966. , ILFO - Industria Laminati Ferrosi Odolese SRL v High Authority of the ECSC. ,not_specified, ILFO - Industria Laminati Ferrosi Odolese SRL v High Authority of the ECSC. ,61965CJ0051,Scrap equalisation
61965CJ0051,1176.0,1966,1,1,2015,2014,48,1,0,61965CJ0051,  Case 51-65,EU:C:1966:21,Judgement,Monaco,Gand,Italy,Italy-not_specified,not_specified,1,1965-07-28,1966-04-28,1966,4,1965.0,7.0,274 days 00:00:00.000000000,1,0,Judgment of the Court of 28 April 1966. , ILFO - Industria Laminati Ferrosi Odolese SRL v High Authority of the ECSC. ,not_specified, ILFO - Industria Laminati Ferrosi Odolese SRL v High Authority of the ECSC. ,61965CJ0051,ECSC matters
61967CJ0005,1081.0,1968,1,1,2015,2014,46,1,0,61967CJ0005,  Case 5-67,EU:C:1968:13,Judgement,Strauss,Gand,Germany,Germany-not_specified,not_specified,1,1967-02-08,1968-03-13,1968,3,1967.0,2.0,399 days 00:00:00.000000000,1,0,Judgment of the Court of 13 March 1968. , W. Beus GmbH &amp; Co. v Hauptzollamt München. ,not_specified, Reference for a preliminary ruling: Finanzgericht München - Germany. ,61967CJ0005,Agriculture and Fisheries
61967CJ0005,1081.0,1968,1,1,2015,2014,46,1,0,61967CJ0005,  Case 5-67,EU:C:1968:13,Judgement,Strauss,Gand,Germany,Germany-not_specified,not_specified,1,1967-02-08,1968-03-13,1968,3,1967.0,2.0,399 days 00:00:00.000000000,1,0,Judgment of the Court of 13 March 1968. , W. Beus GmbH &amp; Co. v Hauptzollamt München. ,not_specified, Reference for a preliminary ruling: Finanzgericht München - Germany. ,61967CJ0005,Fruit and vegetables
