,case_id,bcoefficient,publication_year,total_citations,max_citations_in_a_year,max_citation_year,awakening_time_year,sleep_time_years,time_from_awakening_to_peak_years,peak_year_relative_importance,sleep_to_peak_ratio,case_label,ecli,case_type,judge,advocate,country,country-chamber,chamber,main_subject,lodge_date,document_date,year_document,month_document,year_lodge,month_lodge,case_time,n_countries,joined_cases,ruling_title,ruling_name,degree_centrality,closeness_centrality,betweenness_centrality,pagerank,hits_hubs,hits_authorities,case_name,top_cited,source,subject
745,62000CJ0444,0.0,2003,3,2,2004,2003,0,1,0.6666666666666666,0.0,  Case C-444/00,EU:C:2003:356,Judgement,Timmermans,Alber,United Kingdom,United Kingdom-Fifth Chamber,Fifth Chamber,2,2000-11-30,2003-06-19,2003,6,2000.0,11.0,2.5506849315068494,1,0,Judgment of the Court (Fifth Chamber) of 19 June 2003. , The Queen; on the application of Mayer Parry Recycling Ltd; v Environment Agency and Secretary of State for the Environment; Transport and the Regions; and Corus (UK) Ltd and Allied Steel and Wire Ltd (ASW). ,0.0003620564808110065,0.041269890461159066,1.701616024002084e-05,4.102238748850168e-05,4.923570727994544e-07,8.212852106440638e-05,62000CJ0444:  The Queen; on the application of Mayer Parry Recycling Ltd; v Environment Agency and Secretary of State for the Environment; Transport and the Regions; and Corus (UK) Ltd and Allied Steel and Wire Ltd (ASW). ,0,62000CJ0444,Environment
747,62002CJ0063,0.0,2003,7,3,2004,2003,0,1,0.42857142857142855,0.0,  Case C-63/02,EU:C:2003:38,Judgement,Rosas,Alber,United Kingdom,United Kingdom-First Chamber,First Chamber,1,2002-02-26,2003-01-16,2003,1,2002.0,2.0,0.8876712328767123,1,0,Judgment of the Court (First Chamber) of 16 January 2003. , Commission of the European Communities v United Kingdom of Great Britain and Northern Ireland. ,0.000724112961622013,0.043743921922845964,6.4839061711408424e-06,0.00015850158127619568,8.388351074218652e-07,3.789624144145351e-05,62002CJ0063:  Commission of the European Communities v United Kingdom of Great Britain and Northern Ireland. ,0,62002CJ0063,Environment
749,62001CJ0281,9.0,2002,5,2,2006,2003,1,3,0.4,3.0,  Case C-281/01,EU:C:2002:761,Judgement,Wathelet,Alber,not_specified,not_specified-Fifth Chamber,Fifth Chamber,2,2001-07-16,2002-12-12,2002,12,2001.0,7.0,1.4082191780821918,1,0,Judgment of the Court (Fifth Chamber) of 12 December 2002. , Commission of the European Communities v Council of the European Union. ,0.0009956553222302679,0.04686611337198899,3.594846113507112e-06,6.701929462446865e-05,1.5634897515618266e-05,9.258715880434134e-06,62001CJ0281:  Commission of the European Communities v Council of the European Union. ,0,62001CJ0281,Environment
751,62001CJ0281,9.0,2002,5,2,2006,2003,1,3,0.4,3.0,  Case C-281/01,EU:C:2002:761,Judgement,Wathelet,Alber,not_specified,not_specified-Fifth Chamber,Fifth Chamber,2,2001-07-16,2002-12-12,2002,12,2001.0,7.0,1.4082191780821918,1,0,Judgment of the Court (Fifth Chamber) of 12 December 2002. , Commission of the European Communities v Council of the European Union. ,0.0009956553222302679,0.04686611337198899,3.594846113507112e-06,6.701929462446865e-05,1.5634897515618266e-05,9.258715880434134e-06,62001CJ0281:  Commission of the European Communities v Council of the European Union. ,0,62001CJ0281,Environment
753,62001CJ0060,11.0,2002,3,2,2006,2004,2,2,0.6666666666666666,1.0,  Case C-60/01,EU:C:2002:383,Judgement,Timmermans,Alber,France,France-not_specified,not_specified,1,2001-02-12,2002-06-18,2002,6,2001.0,2.0,1.3452054794520547,1,0,Judgment of the Court of 18 June 2002. , Commission of the European Communities v French Republic. ,0.0006335988414192613,0.048767955492221945,0.0002569691779316269,0.00010035582338586895,1.5146745179663773e-07,1.0776348942375693e-05,62001CJ0060:  Commission of the European Communities v French Republic. ,0,62001CJ0060,Environment
756,62000CJ0366,6.0,2002,1,1,2006,2005,3,1,1.0,0.3333333333333333,  Case C-366/00,EU:C:2002:101,Judgement,Puissochet,Alber,Luxembourg,Luxembourg-Third Chamber,Third Chamber,1,2000-10-03,2002-02-19,2002,2,2000.0,10.0,1.3808219178082193,1,0,Judgment of the Court (Third Chamber) of 19 February 2002. , Commission of the European Communities v Grand Duchy of Luxemburg. ,0.0003620564808110065,9.051412020275162e-05,2.0485107755935046e-05,3.239251655387469e-05,1.1651565186737335e-06,1.1426860045193858e-07,62000CJ0366:  Commission of the European Communities v Grand Duchy of Luxemburg. ,0,62000CJ0366,Environment
757,61998CJ0374,4.0,2000,12,4,2002,2001,1,1,0.3333333333333333,1.0,  Case C-374/98,EU:C:2000:670,Judgement,Gulmann,Alber,France,France-Sixth Chamber,Sixth Chamber,1,1998-10-16,2000-12-07,2000,12,1998.0,10.0,2.1452054794520548,1,0,Judgment of the Court (Sixth Chamber) of 7 December 2000. , Commission of the European Communities v French Republic. ,0.001176683562635771,0.05213502965643768,0.0005467425336527486,0.00028762946320385566,2.4784001106950844e-07,6.082745805869851e-06,61998CJ0374:  Commission of the European Communities v French Republic. ,1,61998CJ0374,Environment
758,61997CJ0418,58.33333333333333,2000,13,4,2007,2006,6,1,0.3076923076923077,0.16666666666666666,  Joined cases C-418/97 and C-419/97,EU:C:2000:318,Judgement,SevÃ³n,Alber,Netherlands,Netherlands-Fifth Chamber,Fifth Chamber,2,1997-12-11,2000-06-15,2000,6,1997.0,12.0,2.5123287671232877,1,1,Judgment of the Court (Fifth Chamber) of 15 June 2000. , ARCO Chemie Nederland Ltd v Minister van Volkshuisvesting; Ruimtelijke Ordening en Milieubeheer (C-418/97) and Vereniging Dorpsbelang Hees; Stichting Werkgroep Weurt+ and Vereniging Stedelijk Leefmilieu Nijmegen v Directeur van de dienst Milieu en Water van de provincie Gelderland (C-419/97). ,0.0013577118030412745,0.051060058203114204,0.0002788526359472102,0.00024186243894970663,2.317439109886297e-05,0.00012114340325651797,61997CJ0418:  ARCO Chemie Nederland Ltd v Minister van Volkshuisvesting; Ruimtelijke Ordening en Milieubeheer (C-418/97) and Vereniging Dorpsbelang Hees; Stichting Werkgroep Weurt+ and Vereniging Stedelijk Leefmilieu Nijmegen v Directeur van de dienst Milieu en Water van de provincie Gelderland (C-419/97). ,1,61997CJ0418,Environment
761,61997CJ0418,58.33333333333333,2000,13,4,2007,2006,6,1,0.3076923076923077,0.16666666666666666,  Joined cases C-418/97 and C-419/97,EU:C:2000:318,Judgement,SevÃ³n,Alber,Netherlands,Netherlands-Fifth Chamber,Fifth Chamber,2,1997-12-11,2000-06-15,2000,6,1997.0,12.0,2.5123287671232877,1,1,Judgment of the Court (Fifth Chamber) of 15 June 2000. , ARCO Chemie Nederland Ltd v Minister van Volkshuisvesting; Ruimtelijke Ordening en Milieubeheer (C-418/97) and Vereniging Dorpsbelang Hees; Stichting Werkgroep Weurt+ and Vereniging Stedelijk Leefmilieu Nijmegen v Directeur van de dienst Milieu en Water van de provincie Gelderland (C-419/97). ,0.0013577118030412745,0.051060058203114204,0.0002788526359472102,0.00024186243894970663,2.317439109886297e-05,0.00012114340325651797,61997CJ0418:  ARCO Chemie Nederland Ltd v Minister van Volkshuisvesting; Ruimtelijke Ordening en Milieubeheer (C-418/97) and Vereniging Dorpsbelang Hees; Stichting Werkgroep Weurt+ and Vereniging Stedelijk Leefmilieu Nijmegen v Directeur van de dienst Milieu en Water van de provincie Gelderland (C-419/97). ,1,61997CJ0418,Environment
1182,62016CJ0268,0.0,2017,1,0,2017,2017,0,0,0.0,0.0,Case C-268/16 P,EU:C:2017:1001,Judgement,JuhÃ¡sz,Bobek,Germany,Germany-Fourth Chamber,Fourth Chamber,2,2016-05-11,2017-12-20,2017,12,2016.0,5.0,1.610958904109589,1,0,Judgment of the Court (Fourth Chamber) of 20 December 2017.,Binca Seafoods GmbH v European Commission.,9.051412020275162e-05,0.0,0.0,2.769082607392964e-05,1.4390330765182658e-06,0.0,62016CJ0268: Binca Seafoods GmbH v European Commission.,0,62016CJ0268,Environment
