,case_id,bcoefficient,publication_year,total_citations,max_citations_in_a_year,max_citation_year,awakening_time_year,sleep_time_years,time_from_awakening_to_peak_years,peak_year_relative_importance,sleep_to_peak_ratio,case_label,ecli,case_type,judge,advocate,country,country-chamber,chamber,main_subject,lodge_date,document_date,year_document,month_document,year_lodge,month_lodge,case_time,n_countries,joined_cases,ruling_title,ruling_name,degree_centrality,closeness_centrality,betweenness_centrality,pagerank,hits_hubs,hits_authorities,case_name,top_cited,source,subject
5893,61988CJ0062,3.0,1990,6,1,1993,1992,2,1,0.16666666666666666,0.5,  Case C-62/88,EU:C:1990:153,Judgement,Zuleeg,Darmon,Greece,Greece-not_specified,not_specified,3,1988-02-26,1990-03-29,1990,3,1988.0,2.0,2.0876712328767124,1,0,Judgment of the Court of 29 March 1990. , Hellenic Republic v Council of the European Communities. ,0.000724112961622013,0.058449304657741875,0.0004053498584096472,0.00010885339493227816,1.4050195401644896e-06,5.1246235425899794e-05,61988CJ0062:  Hellenic Republic v Council of the European Communities. ,0,61988CJ0062,Environment
5897,61988CJ0062,3.0,1990,6,1,1993,1992,2,1,0.16666666666666666,0.5,  Case C-62/88,EU:C:1990:153,Judgement,Zuleeg,Darmon,Greece,Greece-not_specified,not_specified,3,1988-02-26,1990-03-29,1990,3,1988.0,2.0,2.0876712328767124,1,0,Judgment of the Court of 29 March 1990. , Hellenic Republic v Council of the European Communities. ,0.000724112961622013,0.058449304657741875,0.0004053498584096472,0.00010885339493227816,1.4050195401644896e-06,5.1246235425899794e-05,61988CJ0062:  Hellenic Republic v Council of the European Communities. ,0,61988CJ0062,Environment
5912,61988CJ0125,91.0,1989,1,1,2003,2002,13,1,1.0,0.07692307692307693,  Case 125/88,EU:C:1989:401,Judgement,Zuleeg,Darmon,Netherlands,Netherlands-Third Chamber,Third Chamber,5,1988-04-25,1989-11-07,1989,11,1988.0,4.0,1.536986301369863,1,0,Judgment of the Court (Third Chamber) of 7 November 1989. , Criminal proceedings against H. F. M. Nijman. ,0.0003620564808110065,0.04061913845061895,5.753202818782478e-05,3.164379082516921e-05,2.234387109918331e-05,3.300226377769317e-05,61988CJ0125:  Criminal proceedings against H. F. M. Nijman. ,0,61988CJ0125,Environment
5920,61988CJ0125,91.0,1989,1,1,2003,2002,13,1,1.0,0.07692307692307693,  Case 125/88,EU:C:1989:401,Judgement,Zuleeg,Darmon,Netherlands,Netherlands-Third Chamber,Third Chamber,5,1988-04-25,1989-11-07,1989,11,1988.0,4.0,1.536986301369863,1,0,Judgment of the Court (Third Chamber) of 7 November 1989. , Criminal proceedings against H. F. M. Nijman. ,0.0003620564808110065,0.04061913845061895,5.753202818782478e-05,3.164379082516921e-05,2.234387109918331e-05,3.300226377769317e-05,61988CJ0125:  Criminal proceedings against H. F. M. Nijman. ,0,61988CJ0125,Environment
5928,61988CJ0125,91.0,1989,1,1,2003,2002,13,1,1.0,0.07692307692307693,  Case 125/88,EU:C:1989:401,Judgement,Zuleeg,Darmon,Netherlands,Netherlands-Third Chamber,Third Chamber,5,1988-04-25,1989-11-07,1989,11,1988.0,4.0,1.536986301369863,1,0,Judgment of the Court (Third Chamber) of 7 November 1989. , Criminal proceedings against H. F. M. Nijman. ,0.0003620564808110065,0.04061913845061895,5.753202818782478e-05,3.164379082516921e-05,2.234387109918331e-05,3.300226377769317e-05,61988CJ0125:  Criminal proceedings against H. F. M. Nijman. ,0,61988CJ0125,Environment
5936,61988CJ0125,91.0,1989,1,1,2003,2002,13,1,1.0,0.07692307692307693,  Case 125/88,EU:C:1989:401,Judgement,Zuleeg,Darmon,Netherlands,Netherlands-Third Chamber,Third Chamber,5,1988-04-25,1989-11-07,1989,11,1988.0,4.0,1.536986301369863,1,0,Judgment of the Court (Third Chamber) of 7 November 1989. , Criminal proceedings against H. F. M. Nijman. ,0.0003620564808110065,0.04061913845061895,5.753202818782478e-05,3.164379082516921e-05,2.234387109918331e-05,3.300226377769317e-05,61988CJ0125:  Criminal proceedings against H. F. M. Nijman. ,0,61988CJ0125,Environment
5944,61988CJ0125,91.0,1989,1,1,2003,2002,13,1,1.0,0.07692307692307693,  Case 125/88,EU:C:1989:401,Judgement,Zuleeg,Darmon,Netherlands,Netherlands-Third Chamber,Third Chamber,5,1988-04-25,1989-11-07,1989,11,1988.0,4.0,1.536986301369863,1,0,Judgment of the Court (Third Chamber) of 7 November 1989. , Criminal proceedings against H. F. M. Nijman. ,0.0003620564808110065,0.04061913845061895,5.753202818782478e-05,3.164379082516921e-05,2.234387109918331e-05,3.300226377769317e-05,61988CJ0125:  Criminal proceedings against H. F. M. Nijman. ,0,61988CJ0125,Environment
6209,61992CJ0393,0.0,1994,9,2,1995,1994,0,1,0.2222222222222222,0.0,  Case C-393/92,EU:C:1994:171,Judgement,Schockweiler,Darmon,Netherlands,Netherlands-not_specified,not_specified,3,1992-11-10,1994-04-27,1994,4,1992.0,11.0,1.4602739726027398,1,0,Judgment of the Court of 27 April 1994. , Municipality of Almelo and others v NV Energiebedrijf Ijsselmij. ,0.0020818247646632875,0.08236234746235051,0.0017376226882222735,0.0001964068125053292,0.00013086868881093206,0.0001288624192281002,61992CJ0393:  Municipality of Almelo and others v NV Energiebedrijf Ijsselmij. ,0,61992CJ0393,Environment
6217,61992CJ0393,0.0,1994,9,2,1995,1994,0,1,0.2222222222222222,0.0,  Case C-393/92,EU:C:1994:171,Judgement,Schockweiler,Darmon,Netherlands,Netherlands-not_specified,not_specified,3,1992-11-10,1994-04-27,1994,4,1992.0,11.0,1.4602739726027398,1,0,Judgment of the Court of 27 April 1994. , Municipality of Almelo and others v NV Energiebedrijf Ijsselmij. ,0.0020818247646632875,0.08236234746235051,0.0017376226882222735,0.0001964068125053292,0.00013086868881093206,0.0001288624192281002,61992CJ0393:  Municipality of Almelo and others v NV Energiebedrijf Ijsselmij. ,0,61992CJ0393,Environment
6225,61992CJ0393,0.0,1994,9,2,1995,1994,0,1,0.2222222222222222,0.0,  Case C-393/92,EU:C:1994:171,Judgement,Schockweiler,Darmon,Netherlands,Netherlands-not_specified,not_specified,3,1992-11-10,1994-04-27,1994,4,1992.0,11.0,1.4602739726027398,1,0,Judgment of the Court of 27 April 1994. , Municipality of Almelo and others v NV Energiebedrijf Ijsselmij. ,0.0020818247646632875,0.08236234746235051,0.0017376226882222735,0.0001964068125053292,0.00013086868881093206,0.0001288624192281002,61992CJ0393:  Municipality of Almelo and others v NV Energiebedrijf Ijsselmij. ,0,61992CJ0393,Environment
6324,61992CJ0236,28.0,1994,5,2,2000,1998,4,2,0.4,0.5,  Case C-236/92,EU:C:1994:60,Judgement,Kakouris,Darmon,Italy,Italy-not_specified,not_specified,2,1992-04-07,1994-02-23,1994,2,1992.0,4.0,1.8821917808219177,1,0,Judgment of the Court of 23 February 1994. , Comitato di Coordinamento per la Difesa della Cava and others v Regione Lombardia and others. ,0.0009956553222302679,0.06300860635910045,0.00010563039760409822,0.00011984583139248803,7.404754186035624e-05,5.504231595520233e-05,61992CJ0236:  Comitato di Coordinamento per la Difesa della Cava and others v Regione Lombardia and others. ,0,61992CJ0236,Environment
6327,61992CJ0236,28.0,1994,5,2,2000,1998,4,2,0.4,0.5,  Case C-236/92,EU:C:1994:60,Judgement,Kakouris,Darmon,Italy,Italy-not_specified,not_specified,2,1992-04-07,1994-02-23,1994,2,1992.0,4.0,1.8821917808219177,1,0,Judgment of the Court of 23 February 1994. , Comitato di Coordinamento per la Difesa della Cava and others v Regione Lombardia and others. ,0.0009956553222302679,0.06300860635910045,0.00010563039760409822,0.00011984583139248803,7.404754186035624e-05,5.504231595520233e-05,61992CJ0236:  Comitato di Coordinamento per la Difesa della Cava and others v Regione Lombardia and others. ,0,61992CJ0236,Environment
6329,61989CJ0366,0.0,1993,1,0,1993,1993,0,0,0.0,0.0,  Case C-366/89,EU:C:1993:330,Judgement,Edward,Darmon,Italy,Italy-not_specified,not_specified,3,1989-12-04,1993-08-02,1993,8,1989.0,12.0,3.663013698630137,1,0,Judgment of the Court of 2 August 1993. , Commission of the European Communities v Italian Republic. ,0.00018102824040550325,9.051412020275162e-05,3.277419035131769e-08,5.1199278473654884e-05,2.131816239949613e-06,5.41820652323723e-190,61989CJ0366:  Commission of the European Communities v Italian Republic. ,0,61989CJ0366,Environment
6334,61989CJ0366,0.0,1993,1,0,1993,1993,0,0,0.0,0.0,  Case C-366/89,EU:C:1993:330,Judgement,Edward,Darmon,Italy,Italy-not_specified,not_specified,3,1989-12-04,1993-08-02,1993,8,1989.0,12.0,3.663013698630137,1,0,Judgment of the Court of 2 August 1993. , Commission of the European Communities v Italian Republic. ,0.00018102824040550325,9.051412020275162e-05,3.277419035131769e-08,5.1199278473654884e-05,2.131816239949613e-06,5.41820652323723e-190,61989CJ0366:  Commission of the European Communities v Italian Republic. ,0,61989CJ0366,Environment
6339,61989CJ0366,0.0,1993,1,0,1993,1993,0,0,0.0,0.0,  Case C-366/89,EU:C:1993:330,Judgement,Edward,Darmon,Italy,Italy-not_specified,not_specified,3,1989-12-04,1993-08-02,1993,8,1989.0,12.0,3.663013698630137,1,0,Judgment of the Court of 2 August 1993. , Commission of the European Communities v Italian Republic. ,0.00018102824040550325,9.051412020275162e-05,3.277419035131769e-08,5.1199278473654884e-05,2.131816239949613e-06,5.41820652323723e-190,61989CJ0366:  Commission of the European Communities v Italian Republic. ,0,61989CJ0366,Environment
6345,61990CJ0033,15.0,1991,5,1,1997,1996,5,1,0.2,0.2,  Case C-33/90,EU:C:1991:476,Judgement,Joliet,Darmon,Italy,Italy-not_specified,not_specified,2,1990-01-31,1991-12-13,1991,12,1990.0,1.0,1.8657534246575342,1,0,Judgment of the Court of 13 December 1991. , Commission of the European Communities v Italian Republic. ,0.0006335988414192613,0.05027955607605365,0.00010672388018409652,7.790838386562848e-05,4.89723401725403e-07,0.00019048432792813125,61990CJ0033:  Commission of the European Communities v Italian Republic. ,0,61990CJ0033,Environment
6348,61990CJ0033,15.0,1991,5,1,1997,1996,5,1,0.2,0.2,  Case C-33/90,EU:C:1991:476,Judgement,Joliet,Darmon,Italy,Italy-not_specified,not_specified,2,1990-01-31,1991-12-13,1991,12,1990.0,1.0,1.8657534246575342,1,0,Judgment of the Court of 13 December 1991. , Commission of the European Communities v Italian Republic. ,0.0006335988414192613,0.05027955607605365,0.00010672388018409652,7.790838386562848e-05,4.89723401725403e-07,0.00019048432792813125,61990CJ0033:  Commission of the European Communities v Italian Republic. ,0,61990CJ0033,Environment
6350,61986CJ0309,0.0,1988,1,1,1988,1988,0,0,1.0,0.0,  Case 309/86,EU:C:1988:107,Judgement,Koopmans,Darmon,Italy,Italy-not_specified,not_specified,2,1986-12-12,1988-03-02,1988,3,1986.0,12.0,1.2219178082191782,1,0,Judgment of the Court of 2 March 1988. , Commission of the European Communities v Italian Republic. ,0.00018102824040550325,9.051412020275162e-05,1.6387095175658844e-08,3.9445052273792255e-05,6.349420764026537e-07,1.6375524404864747e-166,61986CJ0309:  Commission of the European Communities v Italian Republic. ,0,61986CJ0309,Environment
6353,61986CJ0309,0.0,1988,1,1,1988,1988,0,0,1.0,0.0,  Case 309/86,EU:C:1988:107,Judgement,Koopmans,Darmon,Italy,Italy-not_specified,not_specified,2,1986-12-12,1988-03-02,1988,3,1986.0,12.0,1.2219178082191782,1,0,Judgment of the Court of 2 March 1988. , Commission of the European Communities v Italian Republic. ,0.00018102824040550325,9.051412020275162e-05,1.6387095175658844e-08,3.9445052273792255e-05,6.349420764026537e-07,1.6375524404864747e-166,61986CJ0309:  Commission of the European Communities v Italian Republic. ,0,61986CJ0309,Environment
6357,61984CJ0291,6.0,1987,3,1,1991,1990,3,1,0.3333333333333333,0.3333333333333333,  Case 291/84,EU:C:1987:366,Judgement,Kakouris,Darmon,Netherlands,Netherlands-not_specified,not_specified,2,1984-12-04,1987-09-17,1987,9,1984.0,12.0,2.786301369863014,1,0,Judgment of the Court of 17 September 1987. , Commission of the European Communities v Kingdom of the Netherlands. ,0.0002715423606082549,0.05425396716330786,0.0,0.00013715289617815721,0.0,9.111421663102305e-07,61984CJ0291:  Commission of the European Communities v Kingdom of the Netherlands. ,0,61984CJ0291,Environment
6360,61984CJ0291,6.0,1987,3,1,1991,1990,3,1,0.3333333333333333,0.3333333333333333,  Case 291/84,EU:C:1987:366,Judgement,Kakouris,Darmon,Netherlands,Netherlands-not_specified,not_specified,2,1984-12-04,1987-09-17,1987,9,1984.0,12.0,2.786301369863014,1,0,Judgment of the Court of 17 September 1987. , Commission of the European Communities v Kingdom of the Netherlands. ,0.0002715423606082549,0.05425396716330786,0.0,0.00013715289617815721,0.0,9.111421663102305e-07,61984CJ0291:  Commission of the European Communities v Kingdom of the Netherlands. ,0,61984CJ0291,Environment
7090,61995CJ0072,182.0,1996,29,4,2008,2007,11,1,0.13793103448275862,0.09090909090909091,  Case C-72/95,EU:C:1996:404,Judgement,SevÃ³n,Elmer,Netherlands,Netherlands-not_specified,not_specified,2,1995-03-14,1996-10-24,1996,10,1995.0,3.0,1.6164383561643836,1,0,Judgment of the Court of 24 October 1996. , Aannemersbedrijf P.K. Kraaijeveld BV e.a. v Gedeputeerde Staten van Zuid-Holland. ,0.0032585083272990588,0.08163904141818554,0.0005592309402543286,0.0008199973685334304,0.0001667474082372595,0.00018430944528213998,61995CJ0072:  Aannemersbedrijf P.K. Kraaijeveld BV e.a. v Gedeputeerde Staten van Zuid-Holland. ,1,61995CJ0072,Environment
7092,61995CJ0072,182.0,1996,29,4,2008,2007,11,1,0.13793103448275862,0.09090909090909091,  Case C-72/95,EU:C:1996:404,Judgement,SevÃ³n,Elmer,Netherlands,Netherlands-not_specified,not_specified,2,1995-03-14,1996-10-24,1996,10,1995.0,3.0,1.6164383561643836,1,0,Judgment of the Court of 24 October 1996. , Aannemersbedrijf P.K. Kraaijeveld BV e.a. v Gedeputeerde Staten van Zuid-Holland. ,0.0032585083272990588,0.08163904141818554,0.0005592309402543286,0.0008199973685334304,0.0001667474082372595,0.00018430944528213998,61995CJ0072:  Aannemersbedrijf P.K. Kraaijeveld BV e.a. v Gedeputeerde Staten van Zuid-Holland. ,1,61995CJ0072,Environment
7093,61995CJ0168,53.5,1996,10,3,2004,2002,6,2,0.3,0.3333333333333333,  Case C-168/95,EU:C:1996:363,Judgement,Kakouris,Elmer,Italy,Italy-Fourth Chamber,Fourth Chamber,2,1995-05-30,1996-09-26,1996,9,1995.0,5.0,1.3287671232876712,1,0,Judgment of the Court (Fourth Chamber) of 26 September 1996. , Criminal proceedings against Luciano Arcaro. ,0.0013577118030412745,0.06238902756640294,0.0009938350645130641,0.0001286153913687724,0.0001311743837395381,0.00021085063268123385,61995CJ0168:  Criminal proceedings against Luciano Arcaro. ,0,61995CJ0168,Environment
7096,61995CJ0168,53.5,1996,10,3,2004,2002,6,2,0.3,0.3333333333333333,  Case C-168/95,EU:C:1996:363,Judgement,Kakouris,Elmer,Italy,Italy-Fourth Chamber,Fourth Chamber,2,1995-05-30,1996-09-26,1996,9,1995.0,5.0,1.3287671232876712,1,0,Judgment of the Court (Fourth Chamber) of 26 September 1996. , Criminal proceedings against Luciano Arcaro. ,0.0013577118030412745,0.06238902756640294,0.0009938350645130641,0.0001286153913687724,0.0001311743837395381,0.00021085063268123385,61995CJ0168:  Criminal proceedings against Luciano Arcaro. ,0,61995CJ0168,Environment
7100,61992CJ0431,8.0,1995,21,3,1998,1997,2,1,0.14285714285714285,0.5,  Case C-431/92,EU:C:1995:260,Judgement,Kakouris,Elmer,Germany,Germany-not_specified,not_specified,2,1992-12-23,1995-08-11,1995,8,1992.0,12.0,2.632876712328767,1,0,Judgment of the Court of 11 August 1995. , Commission of the European Communities v Federal Republic of Germany. ,0.0020818247646632875,0.08109988018481422,0.0002472402463806384,0.00037664121412289876,1.8181050746492326e-05,0.0003510374128086517,61992CJ0431:  Commission of the European Communities v Federal Republic of Germany. ,1,61992CJ0431,Environment
7102,61992CJ0431,8.0,1995,21,3,1998,1997,2,1,0.14285714285714285,0.5,  Case C-431/92,EU:C:1995:260,Judgement,Kakouris,Elmer,Germany,Germany-not_specified,not_specified,2,1992-12-23,1995-08-11,1995,8,1992.0,12.0,2.632876712328767,1,0,Judgment of the Court of 11 August 1995. , Commission of the European Communities v Federal Republic of Germany. ,0.0020818247646632875,0.08109988018481422,0.0002472402463806384,0.00037664121412289876,1.8181050746492326e-05,0.0003510374128086517,61992CJ0431:  Commission of the European Communities v Federal Republic of Germany. ,1,61992CJ0431,Environment
7442,61998CJ0256,87.0,2000,7,2,2010,2009,9,1,0.2857142857142857,0.1111111111111111,  Case C-256/98,EU:C:2000:192,Judgement,Gulmann,Fennelly,France,France-Fifth Chamber,Fifth Chamber,1,1998-07-15,2000-04-06,2000,4,1998.0,7.0,1.7287671232876711,1,0,Judgment of the Court (Fifth Chamber) of 6 April 2000. , Commission of the European Communities v French Republic. ,0.000724112961622013,0.04904733888486605,4.868911889044453e-07,5.8662957272736355e-05,8.628375939514624e-06,0.00015124199902640315,61998CJ0256:  Commission of the European Communities v French Republic. ,0,61998CJ0256,Environment
7443,61998CJ0096,0.0,1999,4,1,2000,1999,0,1,0.25,0.0,  Case C-96/98,EU:C:1999:580,Judgement,Gulmann,Fennelly,France,France-Fifth Chamber,Fifth Chamber,1,1998-04-03,1999-11-25,1999,11,1998.0,4.0,1.6465753424657534,1,0,Judgment of the Court (Fifth Chamber) of 25 November 1999. , Commission of the European Communities v French Republic. ,0.0005430847212165098,0.046013562109686865,6.1728873833618104e-06,9.6500020655682e-05,6.2686638993086506e-06,9.255767276468115e-07,61998CJ0096:  Commission of the European Communities v French Republic. ,0,61998CJ0096,Environment
7444,61997CJ0217,6.0,1999,4,1,2003,2002,3,1,0.25,0.3333333333333333,  Case C-217/97,EU:C:1999:395,Judgement,Schintgen,Fennelly,Germany,Germany-Sixth Chamber,Sixth Chamber,1,1997-06-09,1999-09-09,1999,9,1997.0,6.0,2.252054794520548,1,0,Judgment of the Court (Sixth Chamber) of 9 September 1999. , Commission of the European Communities v Federal Republic of Germany. ,0.0006335988414192613,0.04875847461058538,7.954684006326704e-06,0.00014371151778141088,9.223108465373649e-06,1.0441804316428473e-05,61997CJ0217:  Commission of the European Communities v Federal Republic of Germany. ,0,61997CJ0217,Environment
7445,61997CJ0102,29.0,1999,3,2,2005,2003,4,2,0.6666666666666666,0.5,  Case C-102/97,EU:C:1999:394,Judgement,SevÃ³n,Fennelly,Germany,Germany-Fifth Chamber,Fifth Chamber,2,1997-03-10,1999-09-09,1999,9,1997.0,3.0,2.5013698630136987,1,0,Judgment of the Court (Fifth Chamber) of 9 September 1999. , Commission of the European Communities v Federal Republic of Germany. ,0.0004525706010137581,0.0002715423606082549,8.552317675719842e-06,5.5635671093946214e-05,1.560781946838058e-05,6.975484789274264e-07,61997CJ0102:  Commission of the European Communities v Federal Republic of Germany. ,0,61997CJ0102,Environment
7447,61997CJ0102,29.0,1999,3,2,2005,2003,4,2,0.6666666666666666,0.5,  Case C-102/97,EU:C:1999:394,Judgement,SevÃ³n,Fennelly,Germany,Germany-Fifth Chamber,Fifth Chamber,2,1997-03-10,1999-09-09,1999,9,1997.0,3.0,2.5013698630136987,1,0,Judgment of the Court (Fifth Chamber) of 9 September 1999. , Commission of the European Communities v Federal Republic of Germany. ,0.0004525706010137581,0.0002715423606082549,8.552317675719842e-06,5.5635671093946214e-05,1.560781946838058e-05,6.975484789274264e-07,61997CJ0102:  Commission of the European Communities v Federal Republic of Germany. ,0,61997CJ0102,Environment
7449,61997CJ0166,4.0,1999,7,2,2002,2000,1,2,0.2857142857142857,2.0,  Case C-166/97,EU:C:1999:149,Judgement,Gulmann,Fennelly,France,France-Fifth Chamber,Fifth Chamber,1,1997-04-30,1999-03-18,1999,3,1997.0,4.0,1.8821917808219177,1,0,Judgment of the Court (Fifth Chamber) of 18 March 1999. , Commission of the European Communities v French Republic. ,0.001176683562635771,0.05217423281992095,0.002457595084343239,0.0006441001149928421,1.9295595851294338e-05,4.6899666665160125e-06,61997CJ0166:  Commission of the European Communities v French Republic. ,0,61997CJ0166,Environment
7452,61997CJ0326,1.0,1998,3,2,2000,1998,0,2,0.6666666666666666,0.0,  Case C-326/97,EU:C:1998:487,Judgement,Schintgen,Fennelly,Belgium,Belgium-Sixth Chamber,Sixth Chamber,1,1997-09-17,1998-10-15,1998,10,1997.0,9.0,1.0767123287671232,1,0,Judgment of the Court (Sixth Chamber) of 15 October 1998. , Commission of the European Communities v Kingdom of Belgium. ,0.0003620564808110065,0.047032408666174925,7.894332217363287e-06,0.0002735402732761105,6.055664371238015e-07,1.6607251045701038e-06,61997CJ0326:  Commission of the European Communities v Kingdom of Belgium. ,0,61997CJ0326,Environment
7453,61996CJ0003,104.0,1998,9,3,2007,2004,6,3,0.3333333333333333,0.5,  Case C-3/96,EU:C:1998:238,Judgement,Gulmann,Fennelly,Netherlands,Netherlands-not_specified,not_specified,1,1996-01-05,1998-05-19,1998,5,1996.0,1.0,2.3698630136986303,1,0,Judgment of the Court of 19 May 1998. , Commission of the European Communities v Kingdom of the Netherlands. ,0.0015387400434467775,0.05286843268010002,0.00023888705582559037,0.0002145672218998394,9.048583918447767e-06,2.094748892510234e-05,61996CJ0003:  Commission of the European Communities v Kingdom of the Netherlands. ,0,61996CJ0003,Environment
7454,61995CJ0058,36.0,1996,2,1,2005,2004,8,1,0.5,0.125,  Joined cases C-58/95; C-75/95; C-112/95; C-119/95; C-123/95; C-135/95; C-140/95; C-141/95; C-154/95 and C-157/95,EU:C:1996:323,Judgement,SevÃ³n,Fennelly,Italy,Italy-First Chamber,First Chamber,3,1995-03-06,1996-09-12,1996,9,1995.0,3.0,1.5232876712328767,1,1,Judgment of the Court (First Chamber) of 12 September 1996. , Criminal proceedings against Sandro Gallotti; Roberto Censi; Giuseppe Salmaggi; Salvatore Pasquire; Massimo Zappone; Francesco Segna and others; Cesare Cervetti; Mario Gasbarri; Isidoro Narducci and Fulvio Smaldone. ,0.0004525706010137581,0.04474251260539255,9.667564329807311e-06,5.232180657459249e-05,0.00014274551418563483,5.69585262123582e-06,61995CJ0058:  Criminal proceedings against Sandro Gallotti; Roberto Censi; Giuseppe Salmaggi; Salvatore Pasquire; Massimo Zappone; Francesco Segna and others; Cesare Cervetti; Mario Gasbarri; Isidoro Narducci and Fulvio Smaldone. ,0,61995CJ0058,Environment
7458,61995CJ0058,36.0,1996,2,1,2005,2004,8,1,0.5,0.125,  Joined cases C-58/95; C-75/95; C-112/95; C-119/95; C-123/95; C-135/95; C-140/95; C-141/95; C-154/95 and C-157/95,EU:C:1996:323,Judgement,SevÃ³n,Fennelly,Italy,Italy-First Chamber,First Chamber,3,1995-03-06,1996-09-12,1996,9,1995.0,3.0,1.5232876712328767,1,1,Judgment of the Court (First Chamber) of 12 September 1996. , Criminal proceedings against Sandro Gallotti; Roberto Censi; Giuseppe Salmaggi; Salvatore Pasquire; Massimo Zappone; Francesco Segna and others; Cesare Cervetti; Mario Gasbarri; Isidoro Narducci and Fulvio Smaldone. ,0.0004525706010137581,0.04474251260539255,9.667564329807311e-06,5.232180657459249e-05,0.00014274551418563483,5.69585262123582e-06,61995CJ0058:  Criminal proceedings against Sandro Gallotti; Roberto Censi; Giuseppe Salmaggi; Salvatore Pasquire; Massimo Zappone; Francesco Segna and others; Cesare Cervetti; Mario Gasbarri; Isidoro Narducci and Fulvio Smaldone. ,0,61995CJ0058,Environment
7462,61995CJ0058,36.0,1996,2,1,2005,2004,8,1,0.5,0.125,  Joined cases C-58/95; C-75/95; C-112/95; C-119/95; C-123/95; C-135/95; C-140/95; C-141/95; C-154/95 and C-157/95,EU:C:1996:323,Judgement,SevÃ³n,Fennelly,Italy,Italy-First Chamber,First Chamber,3,1995-03-06,1996-09-12,1996,9,1995.0,3.0,1.5232876712328767,1,1,Judgment of the Court (First Chamber) of 12 September 1996. , Criminal proceedings against Sandro Gallotti; Roberto Censi; Giuseppe Salmaggi; Salvatore Pasquire; Massimo Zappone; Francesco Segna and others; Cesare Cervetti; Mario Gasbarri; Isidoro Narducci and Fulvio Smaldone. ,0.0004525706010137581,0.04474251260539255,9.667564329807311e-06,5.232180657459249e-05,0.00014274551418563483,5.69585262123582e-06,61995CJ0058:  Criminal proceedings against Sandro Gallotti; Roberto Censi; Giuseppe Salmaggi; Salvatore Pasquire; Massimo Zappone; Francesco Segna and others; Cesare Cervetti; Mario Gasbarri; Isidoro Narducci and Fulvio Smaldone. ,0,61995CJ0058,Environment
7466,61995CJ0044,45.0,1996,1,1,2006,2005,9,1,1.0,0.1111111111111111,  Case C-44/95,EU:C:1996:297,Judgement,Gulmann,Fennelly,United Kingdom,United Kingdom-not_specified,not_specified,1,1995-02-24,1996-07-11,1996,7,1995.0,2.0,1.378082191780822,1,0,Judgment of the Court of 11 July 1996. , Regina v Secretary of State for the Environment; ex parte: Royal Society for the Protection of Birds. ,0.0002715423606082549,0.043021378687645065,0.000107029549973283,6.280122931744315e-05,2.2020064008028582e-06,5.41820652323723e-190,61995CJ0044:  Regina v Secretary of State for the Environment; ex parte: Royal Society for the Protection of Birds. ,0,61995CJ0044,Environment
7467,61994CJ0149,0.0,1996,2,1,1996,1996,0,0,0.5,0.0,  Case C-149/94,EU:C:1996:37,Judgement,Gulmann,Fennelly,France,France-Third Chamber,Third Chamber,1,1994-06-06,1996-02-08,1996,2,1994.0,6.0,1.6767123287671233,1,0,Judgment of the Court (Third Chamber) of 8 February 1996. , Criminal proceedings against Didier Vergy. ,0.0003620564808110065,0.00020571390955170826,1.065161186417825e-07,5.413649128955539e-05,7.21278694642817e-07,6.457798235177632e-06,61994CJ0149:  Criminal proceedings against Didier Vergy. ,0,61994CJ0149,Environment
8202,62005CJ0244,28.0,2006,6,2,2012,2009,3,3,0.3333333333333333,1.0,  Case C-244/05,EU:C:2006:579,Judgement,Silva de Lapuerta,Geelhoed,Germany,Germany-Second Chamber,Second Chamber,1,2005-06-07,2006-09-14,2006,9,2005.0,6.0,1.2712328767123289,1,0,Judgment of the Court (Second Chamber) of 14 September 2006. , Bund Naturschutz in Bayern eV and Others v Freistaat Bayern. ,0.0009051412020275162,0.000993447660761908,0.00017640090825610117,9.096023286018454e-05,9.551075684981623e-05,1.1929009235171449e-05,62005CJ0244:  Bund Naturschutz in Bayern eV and Others v Freistaat Bayern. ,0,62005CJ0244,Environment
8203,62005CJ0060,4.0,2006,8,2,2009,2007,1,2,0.25,2.0,  Case C-60/05,EU:C:2006:378,Judgement,Silva de Lapuerta,Geelhoed,Italy,Italy-Second Chamber,Second Chamber,1,2005-02-10,2006-06-08,2006,6,2005.0,2.0,1.3232876712328767,1,0,Judgment of the Court (Second Chamber) of 8 June 2006. , WWF Italia and Others v Regione Lombardia. ,0.0008146270818247647,0.04464593594413471,0.0001866971833486125,0.00010259813403809216,3.214410453325645e-07,5.1254462225094396e-05,62005CJ0060:  WWF Italia and Others v Regione Lombardia. ,0,62005CJ0060,Environment
8206,62004CJ0122,0.0,2006,1,1,2007,2006,0,1,1.0,0.0,  Case C-122/04,EU:C:2006:134,Judgement,Colneric,Geelhoed,not_specified,not_specified-First Chamber,First Chamber,2,2004-03-05,2006-02-23,2006,2,2004.0,3.0,1.9726027397260273,1,0,Judgment of the Court (First Chamber) of 23 February 2006. , Commission of the European Communities v European Parliament and Council of the European Union. ,0.00018102824040550325,0.0005829337049535702,7.07719074988047e-06,4.092721196157397e-05,2.457626357683653e-06,9.767151423128354e-08,62004CJ0122:  Commission of the European Communities v European Parliament and Council of the European Union. ,0,62004CJ0122,Environment
